"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2803","RT @TheDemCoalition: ""The @GOP demanded the Democrats return donations received from Harvey Weinstein. Wynn gave millions to the GOP. Will…",FALSE,0,NA,2018-01-27 20:10:41,FALSE,NA,"957345134965817347",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DewDropInn222",946,TRUE,FALSE,NA,NA
"2804","RT @ananavarro: Matt Lauer lost his job.
Charlie Rose lost his job.
Mark Halperin lost his job.
Glenn Thrush lost his job.
Billy Bush lost…",FALSE,0,NA,2018-01-27 20:10:38,FALSE,NA,"957345123179917315",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LucasPaternott_",201111,TRUE,FALSE,NA,NA
"2805","RT @morninggloria: Fuck Harvey Weinstein and fuck Steve Wynn and if you think one deserves condemnation and the other doesn’t: fuck you",FALSE,0,NA,2018-01-27 20:10:38,FALSE,NA,"957345121594327040",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","Spokaloo68",0,FALSE,FALSE,NA,NA
"2806","RT @TMZ: BREAKING: Court Clerk Slipped Meek Mill A Note Asking for Money During Probation Violation Hearing! Harvey explains. #MeekMill htt…",FALSE,0,NA,2018-01-27 20:10:33,FALSE,NA,"957345103319793666",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ragan_Dunn",999,TRUE,FALSE,NA,NA
"2807","RT @DLoesch: Bill Clinton. Harvey Weinstein. https://t.co/we5k2xCmmE",FALSE,0,NA,2018-01-27 20:10:29,FALSE,NA,"957345084160307206",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","smp0711",1724,TRUE,FALSE,NA,NA
"2808","RT @410jose_: Never going to understand why people limit their music taste to what’s local .",FALSE,0,NA,2018-01-27 20:10:28,FALSE,NA,"957345082679717888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","a_harvey_98",7,TRUE,FALSE,NA,NA
"2809","RT @TMZ: BREAKING: Court Clerk Slipped Meek Mill A Note Asking for Money During Probation Violation Hearing! Harvey explains. #MeekMill htt…",FALSE,0,NA,2018-01-27 20:10:27,FALSE,NA,"957345076283404288",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","N_Maxie",999,TRUE,FALSE,NA,NA
"2810","@GOPChairwoman 
You should've demanded Steve Wynn's resignation 24 hours ago.

And  you have the nerve to criticize… https://t.co/G7UinZqRSF",FALSE,0,"GOPChairwoman",2018-01-27 20:10:27,TRUE,NA,"957345075436113926","2353605901","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Zingzangboom",0,FALSE,FALSE,NA,NA
"2811","RT @NathanHRubin: Steve Wynn is the Harvey Weinstein of the Right, with one key difference. 

Weinstein wasn’t officially involved in any f…",FALSE,0,NA,2018-01-27 20:10:26,FALSE,NA,"957345073976442881",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","red3blog",4978,TRUE,FALSE,NA,NA
"2812","RT @AdventistReview: The Adventist Development and Relief Agency Dominica is currently transitioning from relief to rebuild, said the organ…",FALSE,0,NA,2018-01-27 20:10:26,FALSE,NA,"957345073158610945",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TrinidadBenjami",6,TRUE,FALSE,NA,NA
